"type","R.est"
"MDR Ural",2.76838717760082
"MDR Ural",2.56216379977581
"MDR Ural",2.57316504713186
"MDR Ural",2.01281360142443
"MDR Ural",2.38888639016538
"MDR Ural",2.52424323326575
"MDR Ural",2.86652340564478
"MDR Ural",2.56510585682242
"MDR Ural",2.84055323980365
"MDR Ural",2.4239308734001
"MDR Ural",2.47749011955658
"MDR Ural",2.43488743278462
"MDR Ural",2.23585141884629
"MDR Ural",2.45206291838775
"MDR Ural",2.43928608514697
"MDR Ural",2.35225285862485
"MDR Ural",2.81424972689385
"MDR Ural",2.25335069582612
"MDR Ural",2.49276228842512
"MDR Ural",3.64892489813363
"MDR Ural",2.94224548888363
"MDR Ural",3.17420259329933
"MDR Ural",3.48819808687794
"MDR Ural",3.02137092310492
"MDR Ural",2.60725890820647
"MDR Ural",2.58947702848319
"MDR Ural",2.38737280107788
"MDR Ural",2.11073630064174
"MDR Ural",2.43907349305406
"MDR Ural",2.56023904499575
"MDR Ural",2.19760592981185
"MDR Ural",2.81597654330762
"MDR Ural",2.67509680849967
"MDR Ural",3.15964276944313
"MDR Ural",2.59350870558196
"MDR Ural",2.44836342288687
"MDR Ural",3.51475553310066
"MDR Ural",2.28688132399402
"MDR Ural",2.44308838301243
"MDR Ural",2.87753048188741
"MDR Ural",3.32483893688585
"MDR Ural",3.06652329629172
"MDR Ural",2.85250319442068
"MDR Ural",3.07850407831368
"MDR Ural",2.44330286123637
"MDR Ural",3.60262626714685
"MDR Ural",3.10694783860447
"MDR Ural",2.65573719743108
"MDR Ural",2.75985867352273
"MDR Ural",3.04447351202335
"MDR Ural",2.40175881709658
"MDR Ural",3.41909737651554
"MDR Ural",2.87368488093152
"MDR Ural",3.3429836795446
"MDR Ural",3.33385656125243
"MDR Ural",3.43427459413253
"MDR Ural",2.95695063003937
"MDR Ural",2.84241995543198
"MDR Ural",3.2888495673806
"MDR Ural",2.70121276466073
"MDR Ural",3.47817621513358
"MDR Ural",2.84924401860934
"MDR Ural",2.30219411669169
"MDR Ural",2.25788544147333
"MDR Ural",2.8643564476591
"MDR Ural",2.85615528068171
"MDR Ural",2.71358532096916
"MDR Ural",2.21458366497916
"MDR Ural",2.27870129468055
"MDR Ural",2.52986633725147
"MDR Ural",2.48852946509301
"MDR Ural",2.36257298558472
"MDR Ural",2.60192345855689
"MDR Ural",2.62831152860365
"MDR Ural",2.97433520067412
"MDR Ural",2.46214970846786
"MDR Ural",2.81912133098851
"MDR Ural",2.43584091643587
"MDR Ural",2.28202929088067
"MDR Ural",2.32835014739239
"MDR Ural",2.37237794781413
"MDR Ural",2.56450557255364
"MDR Ural",2.77619273897426
"MDR Ural",2.0274785110384
"MDR Ural",1.88233456532366
"MDR Ural",2.08187974105295
"MDR Ural",2.11830283951446
"MDR Ural",2.35870188654876
"MDR Ural",2.51322327509234
"MDR Ural",2.39855994400119
"MDR Ural",1.96683454246572
"MDR Ural",2.60237511310064
"MDR Ural",2.40471374481248
"MDR Ural",2.58403308667711
"MDR Ural",2.91205404704232
"MDR Ural",2.956331673866
"MDR Ural",2.40868885420896
"MDR Ural",2.32766578952294
"MDR Ural",3.17051137878335
"MDR Ural",2.80927943460487
"MDR Ural",2.97370997541244
"MDR Ural",3.20915534422829
"MDR Ural",2.87758013300134
"MDR Ural",2.54982210288727
"MDR Ural",2.88899711164564
"MDR Ural",2.97306712803781
"MDR Ural",3.09259674454341
"MDR Ural",3.58870574488626
"MDR Ural",2.87136578907707
"MDR Ural",3.00379712782341
"MDR Ural",3.16443086150503
"MDR Ural",3.96551013934329
"MDR Ural",2.58001574022016
"MDR Ural",2.89768884567255
"MDR Ural",3.55708201174039
"MDR Ural",3.12594504487644
"MDR Ural",3.57785117515451
"MDR Ural",2.98737425178492
"MDR Ural",2.63757345071773
"MDR Ural",2.87199949584062
"MDR Ural",2.62145252042244
"MDR Ural",2.34645218335339
"MDR Ural",2.58217809486152
"MDR Ural",2.75139509331847
"MDR Ural",2.59570794670752
"MDR Ural",2.56450413827172
"MDR Ural",3.69206947381757
"MDR Ural",2.9466960075787
"MDR Ural",2.71816140678491
"MDR Ural",2.43782480831873
"MDR Ural",2.83846670533196
"MDR Ural",2.90289557078655
"MDR Ural",3.15601500331152
"MDR Ural",3.42327948617394
"MDR Ural",3.27638921932729
"MDR Ural",2.57581623659974
"MDR Ural",2.52092703975983
"MDR Ural",2.14657741131084
