SequenceID,Type,Clade
TB-111-12685-18_S79,MDR,Ural_26
TB-111-12496-19_S198,MDR,Ural_26
TB-111-12840-18_S139,Non-MDR,Ural_31
TB-111-13160-18_S73,MDR,Ural_26
TB-111-13161-18_S116,MDR,Ural_26
TB-111-13294-18_S171,MDR,Ural_26
TB-444-4048-18_S125,Non-MDR,Ural_31
TB-444-2394-18_S11,MDR,Ural_26
TB-111-13498-18_S94,MDR,Ural_26
TB-111-16552-18_S32,MDR,Ural_26
TB-111-13880-18_S84,MDR,Ural_26
TB-111-14450-18_S167,Non-MDR,Ural_26
TB-444-4422-18_S100,MDR,Ural_26
TB-111-14675-18_S164,Non-MDR,Ural_31
TB-222-4948-18_S73,MDR,Ural_26
TB-111-14524-19_S158,MDR,Ural_26
TB-111-14558-19_S78,Non-MDR,Ural_17
TB-111-14733-19_S155,MDR,Ural_26
TB-111-15171-18-138_S6,MDR,Ural_26
TB-111-15075-18_S144,Non-MDR,Ural_31
TB-111-15086-18_S161,MDR,Ural_26
TB-222-4848-19_S273,MDR,Ural_26
TB-111-15201-18_S165,Non-MDR,Ural_31
TB-444-4775-18_S28,MDR,Ural_26
TB-222-4939-19_S215,MDR,Ural_26
TB-111-15339-19_S16,MDR,Ural_26
TB-111-15340-19_S116,MDR,Ural_26
TB-111-15341-19_S98,MDR,Ural_26
TB-111-15345-19_S9,MDR,Ural_26
TB-111-15382-19_S141,MDR,Ural_26
TB-222-4964-19_S216,MDR,Ural_26
TB-111-15794-18_S149,Non-MDR,Ural_31
TB-111-15751-18-138_S20,MDR,Ural_26
TB-111-15561-19_S127,MDR,Ural_26
TB-111-15657-19_S142,MDR,Ural_26
TB-111-15713-19_S73,MDR,Ural_26
TB-111-16133-18-138_S10,MDR,Ural_26
TB-111-15903-19_S5,Non-MDR,Ural_31
TB-111-15916-19_S161,MDR,Ural_26
TB-111-15895-18-138_S49,Non-MDR,Ural_31
TB-222-5151-19_S258,MDR,Ural_26
TB-111-16121-18-138_S29,Non-MDR,Ural_31
TB-222-5557-18_S61,MDR,Ural_26
TB-111-16379-18_S126,MDR,Ural_26
TB-111-16297-19_S60,MDR,Ural_26
TB-111-16485-19_S117,Non-MDR,Ural_31
TB-444-5286-18_S34,MDR,Ural_26
TB-111-16817-18_S138,Non-MDR,Ural_31
TB-111-16645-19_S110,Non-MDR,Ural_31
TB-111-16694-19_S61,MDR,Ural_26
TB-111-16777-18_S100,MDR,Ural_26
TB-111-16979-18_S43,Non-MDR,Ural_31
TB-222-5766-18_S55,MDR,Ural_26
TB-111-16954-18_S30,MDR,Ural_26
TB-444-5442-18_S64,MDR,Ural_26
TB-111-17049-19_S2,MDR,Ural_26
TB-111-17019-18_S34,MDR,Ural_26
TB-111-17335-18-138_S16,MDR,Ural_26
TB-111-17429-18_S15,Non-MDR,Ural_17
TB-222-5642-19_S268,MDR,Ural_26
TB-111-17415-18-138_S53,MDR,Ural_26
TB-444-5609-18_S182,MDR,Ural_26
TB-111-17590-18_S33,MDR,Ural_26
TB-111-17827-18_S136,MDR,Ural_26
TB-111-17916-18_S120,MDR,Ural_26
TB-111-17797-18_S133,MDR,Ural_26
TB-444-5756-18_S179,MDR,Ural_26
TB-111-18004-18_S145,Non-MDR,Ural_17
TB-111-18075-18_S141,Non-MDR,Ural_31
TB-222-5877-19_S275,MDR,Ural_26
TB-111-18099-18_S101,Non-MDR,Ural_31
TB-111-18504-18-138_S23,MDR,Ural_26
TB-222-63111-8_S145,MDR,Ural_26
TB-111-18538-18-138_S51,MDR,Ural_26
TB-444-5993-18_S30,Non-MDR,Ural_31
TB-444-6003-18_S100,MDR,Ural_26
TB-111-18657-18-138_S24,MDR,Ural_26
TB-111-18751-18-138_S50,MDR,Ural_26
TB-444-6061-18_S104,Non-MDR,Ural_31
TB-222-6137-19_S254,MDR,Ural_26
TB-444-6093-18_S105,Non-MDR,Ural_31
TB-111-18854-18-138_S26,Non-MDR,Ural_31
TB-111-19016-18_S131,MDR,Ural_26
TB-111-19026-18-138_S21,MDR,Ural_26
TB-111-19340-19_S114,MDR,Ural_26
TB-111-19530-19_S147,Non-MDR,Ural_31
TB-111-19151-18-138_S23,MDR,Ural_26
TB-111-19199-18_S116,Non-MDR,Ural_31
TB-444-6286-18_S101,Non-MDR,Ural_31
TB-222-6399-19_S260,Non-MDR,Ural_31
TB-111-19315-18_S152,MDR,Ural_26
TB-111-19390-18_S119,MDR,Ural_26
