SeuqneceID,Clade,Type
TB-444-4571-18_S30,Beijing_2,MDR
TB-444-4580-19_S21,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA157-2066_S158,Beijing_2,MDR
TB-444-5959-18_S49,Beijing_2,MDR
TB-MoldovaSeq-DNA026-12_S26,Beijing_2,MDR
TB-111-10472-18_S159,Beijing_2,MDR
TB-444-2375-18_S10,Beijing_2,MDR
TB-MoldovaSeq-DNA088-806_S88,Beijing_2,MDR
TB-444-4934-19_S86,Beijing_2,MDR
TB-444-4606-19_S79,Beijing_2,MDR
TB-MoldovaSeq-DNA180-2298_S181,Beijing_2,MDR
TB-MoldovaSeq-DNA174-2305_S175,Beijing_2,MDR
TB-MoldovaSeq-DNA139-1997_S140,Beijing_2,MDR
TB-444-715-19-138_S17,Beijing_2,MDR
TB-444-3916-18_S167,Beijing_2,MDR
TB-444-3952-18_S162,Beijing_2,MDR
TB-444-2523-18_S196,Beijing_2,MDR
TB-MoldovaSeq-DNA166-2098_S167,Beijing_2,MDR
TB-MoldovaSeq-DNA155-1090_S156,Beijing_2,MDR
TB-MoldovaSeq-DNA076-603_S76,Beijing_2,MDR
TB-MoldovaSeq-DNA096-134_S97,Beijing_2,MDR
TB-MoldovaSeq-DNA104-59_S105,Beijing_2,MDR
TB-MoldovaSeq-DNA124-1548_S125,Beijing_2,MDR
TB-MoldovaSeq-DNA153-1687_S154,Beijing_2,MDR
TB-444-4256-19_S3,Beijing_2,MDR
TB-444-6068-18_S49,Beijing_2,MDR
TB-444-2479-18_S195,Beijing_2,MDR
TB-333-3243-19_S182,Beijing_2,MDR
TB-111-6600-19_S210,Beijing_2,MDR
TB-222-6759-18_S215,Beijing_2,Non-MDR
TB-111-548-18_S84,Beijing_2,MDR
TB-444-4060-19_S76,Beijing_2,MDR
TB-111-17963-18-138_S99,Beijing_2,MDR
TB-DNA0377_S234,Beijing_2,MDR
TB-111-24231-18F_S20,Beijing_2,MDR
TB-111-14610-19_S156,Beijing_2,MDR
TB-111-17835-18_S147,Beijing_2,MDR
